scheme,scenario,dt,min_nodal_value,mass_defect
FCDF-B,OU,small,9.175157987507633e-27,3.979039320256561e-13
unlimited,OU,small,9.175155756321112e-27,2.842170943040401e-14
monotone_core,OU,small,3.8513668885430986e-26,3.765876499528531e-13
FCDF-B,OU,large,1.7412047463148384e-14,1.0516032489249483e-12
unlimited,OU,large,8.226908680164067e-15,7.815970093361102e-13
monotone_core,OU,large,2.0955381463036422e-14,1.0516032489249483e-12
FCDF-B,front,small,4.884492190239425e-134,4.163780431554187e-12
unlimited,front,small,-0.07722019539500398,4.035882739117369e-12
monotone_core,front,small,4.5808605158563967e-63,3.808509063674137e-12
FCDF-B,front,large,2.4774135859720216e-60,7.105427357601002e-13
unlimited,front,large,3.1209196241739534e-66,9.663381206337363e-13
monotone_core,front,large,2.359952865955411e-59,6.536993168992922e-13
